Productcat,Date,Sales
ProdCat17,06-03-2014,
ProdCat17,07-03-2014,
ProdCat17,08-03-2014,
ProdCat17,11-03-2014,
ProdCat17,12-03-2014,
ProdCat17,13-03-2014,
ProdCat17,14-03-2014,
ProdCat17,15-03-2014,
ProdCat17,18-03-2014,
ProdCat17,19-03-2014,
ProdCat17,20-03-2014,
ProdCat17,21-03-2014,
ProdCat17,22-03-2014,
ProdCat17,25-03-2014,
ProdCat17,26-03-2014,
ProdCat17,27-03-2014,
ProdCat17,28-03-2014,
ProdCat17,29-03-2014,
ProdCat18,01-03-2014,
ProdCat18,04-03-2014,
ProdCat18,05-03-2014,
ProdCat18,06-03-2014,
ProdCat18,07-03-2014,
ProdCat18,08-03-2014,
ProdCat18,11-03-2014,
ProdCat18,12-03-2014,
ProdCat18,13-03-2014,
ProdCat18,14-03-2014,
ProdCat18,15-03-2014,
ProdCat18,18-03-2014,
ProdCat18,19-03-2014,
ProdCat18,20-03-2014,
ProdCat18,21-03-2014,
ProdCat18,22-03-2014,
ProdCat18,25-03-2014,
ProdCat18,26-03-2014,
ProdCat18,27-03-2014,
ProdCat18,28-03-2014,
ProdCat18,29-03-2014,
ProdCat19,01-03-2014,
ProdCat19,04-03-2014,
ProdCat19,05-03-2014,
ProdCat19,06-03-2014,
ProdCat19,07-03-2014,
ProdCat19,08-03-2014,
ProdCat19,11-03-2014,
ProdCat19,12-03-2014,
ProdCat19,13-03-2014,
ProdCat19,14-03-2014,
ProdCat19,15-03-2014,
ProdCat19,18-03-2014,
ProdCat19,19-03-2014,
ProdCat19,20-03-2014,
ProdCat19,26-03-2014,
ProdCat19,27-03-2014,
ProdCat19,28-03-2014,
ProdCat19,29-03-2014,
ProdCat20,01-03-2014,
ProdCat20,04-03-2014,
ProdCat20,05-03-2014,
ProdCat20,06-03-2014,
ProdCat20,07-03-2014,
ProdCat20,08-03-2014,
ProdCat20,11-03-2014,
ProdCat20,12-03-2014,
ProdCat20,13-03-2014,
ProdCat20,14-03-2014,
ProdCat20,15-03-2014,
ProdCat20,16-03-2014,
ProdCat20,18-03-2014,
ProdCat20,19-03-2014,
ProdCat20,20-03-2014,
ProdCat20,21-03-2014,
ProdCat20,22-03-2014,
ProdCat20,25-03-2014,
ProdCat20,26-03-2014,
ProdCat20,27-03-2014,
ProdCat20,28-03-2014,
ProdCat20,29-03-2014,
ProdCat21,01-03-2014,
ProdCat21,04-03-2014,
ProdCat21,05-03-2014,
ProdCat21,06-03-2014,
ProdCat21,07-03-2014,
ProdCat21,08-03-2014,
ProdCat21,11-03-2014,
ProdCat21,12-03-2014,
ProdCat21,13-03-2014,
ProdCat21,14-03-2014,
ProdCat21,15-03-2014,
ProdCat21,18-03-2014,
ProdCat21,19-03-2014,
ProdCat21,20-03-2014,
ProdCat21,21-03-2014,
ProdCat21,22-03-2014,
ProdCat21,25-03-2014,
ProdCat21,26-03-2014,
ProdCat21,27-03-2014,
ProdCat21,28-03-2014,
ProdCat21,29-03-2014,
ProdCat22,01-03-2014,
ProdCat22,04-03-2014,
ProdCat22,05-03-2014,
ProdCat22,06-03-2014,
ProdCat22,07-03-2014,
ProdCat22,08-03-2014,
ProdCat22,11-03-2014,
ProdCat22,12-03-2014,
ProdCat22,13-03-2014,
ProdCat22,14-03-2014,
ProdCat22,15-03-2014,
ProdCat22,18-03-2014,
ProdCat22,19-03-2014,
ProdCat22,20-03-2014,
ProdCat22,21-03-2014,
ProdCat22,22-03-2014,
ProdCat22,25-03-2014,
ProdCat22,26-03-2014,
ProdCat22,27-03-2014,
ProdCat22,28-03-2014,
ProdCat22,29-03-2014,
